Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombre,0-4,334,361,391,424,458,442,465,484,503,523,490,514,542,573,605,577,600,623,651,683,674,707,743,781,817,395,408,419,430,439,374,294,292,299,337,295,248,205,169,139,183,139,178,148,188,185
Hombre,05-sep,379,410,444,482,520,527,555,578,600,624,617,648,683,723,762,732,761,791,826,867,794,833,875,920,963,487,503,517,531,541,449,353,351,359,405,253,212,175,144,119,93,71,91,75,96,94
Hombre,oct-14,395,428,463,503,543,561,590,615,638,664,691,725,765,809,853,866,901,936,978,1026,905,949,997,1048,1097,599,618,635,652,666,509,401,398,407,459,263,221,183,150,124,80,61,78,65,82,81
Hombre,15-19,1077,1166,1262,1370,1479,1580,1662,1732,1797,1869,1971,2070,2182,2308,2434,2571,2673,2777,2903,3045,2660,2791,2932,3082,3225,2047,2111,2170,2228,2273,1714,1348,1339,1371,1545,859,721,596,490,404,205,155,200,166,211,208
Hombre,20-24,589,637,690,749,808,878,924,963,999,1039,1131,1187,1252,1324,1396,1486,1545,1606,1678,1760,1542,1618,1700,1787,1870,1476,1523,1565,1607,1639,1559,1227,1218,1247,1406,954,801,662,544,449,258,196,252,209,266,262
Hombre,25-29,220,238,258,280,302,320,337,351,364,379,422,444,468,495,522,576,599,622,650,682,618,649,682,716,750,670,692,711,730,744,835,657,652,668,753,627,527,435,358,295,212,161,207,172,219,216
Hombre,30-34,94,102,111,120,130,134,141,147,153,159,173,182,191,202,214,243,252,262,274,287,280,294,308,324,339,315,325,334,343,350,430,338,336,344,388,385,323,267,220,181,151,115,147,123,155,153
Hombre,35-39,48,52,57,62,67,68,72,75,77,80,86,90,95,100,106,118,122,127,133,139,142,149,156,164,172,165,170,175,180,183,228,179,178,182,205,239,200,166,136,112,108,82,105,87,111,109
Hombre,40-44,29,31,34,37,40,40,42,44,46,48,50,52,55,59,62,67,70,73,76,80,82,86,90,95,99,96,99,102,105,107,131,103,102,105,118,154,129,107,88,72,80,61,78,65,82,81
Hombre,45-49,19,20,22,24,26,26,28,29,30,31,32,34,36,38,40,43,45,47,49,51,53,56,59,62,65,61,63,65,66,68,79,62,62,63,71,103,86,71,59,48,59,45,58,48,61,60
