Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,0,34142,34901,35622,36235,36721,37078,37256,37315,37386,37489,37526,37396,37191,36983,36762,36527,36278,36022,35766,35474,35869,37004,38114,39162,40135,40986,41405,41477,41554,41637,41870,42249,42634,43056,43531,43974,44181,44246,44362,44506,44664,44915,45243,45526,45783,45971
Hombres,1,32615,33500,34373,35188,35896,36479,36934,37211,37382,37579,37688,37587,37398,37217,37016,36794,36553,36292,36026,35745,36056,36998,37999,38994,39896,40718,41167,41255,41318,41393,41635,42047,42508,43004,43557,44173,44488,44495,44498,44548,44665,44883,45191,45499,45777,46033
Hombres,2,31684,32634,33585,34517,35397,36174,36828,37352,37702,37946,38077,37968,37753,37558,37362,37145,36907,36651,36379,36103,36375,37149,37939,38827,39683,40444,40935,41113,41178,41227,41476,41897,42354,42883,43462,44111,44540,44639,44637,44625,44710,44935,45219,45506,45804,46078
Hombres,3,30807,31782,32788,33784,34764,35696,36528,37235,37813,38217,38371,38259,38029,37816,37616,37416,37195,36955,36698,36428,36647,37324,37950,38631,39390,40118,40612,40888,41037,41080,41313,41747,42191,42686,43265,43907,44343,44557,44681,44696,44742,44953,45253,45521,45801,46099
Hombres,4,29952,30924,31945,32986,34021,35043,36019,36895,37646,38270,38570,38468,38232,38012,37806,37613,37421,37209,36978,36733,36897,37462,38000,38522,39082,39722,40241,40573,40812,40932,41168,41592,42031,42491,43011,43625,44050,44284,44543,44704,44779,44953,45248,45541,45811,46095
Hombres,5,29116,30079,31089,32139,33212,34282,35342,36355,37269,38058,38571,38611,38386,38169,37965,37774,37598,37424,37230,37017,37145,37597,38033,38473,38882,39332,39812,40212,40503,40709,41027,41459,41876,42314,42779,43312,43718,43962,44253,44559,44773,44974,45243,45537,45837,46116
Hombres,6,28292,29254,30250,31284,32362,33466,34568,35659,36706,37652,38328,38582,38503,38302,38108,37927,37760,37610,37460,37289,37389,37747,38080,38423,38759,39068,39400,39798,40154,40409,40818,41336,41753,42156,42582,43042,43385,43634,43939,44281,44628,44962,45269,45545,45852,46165
Hombres,7,27472,28436,29427,30444,31503,32607,33739,34870,35991,37066,37901,38326,38467,38417,38245,38080,37930,37795,37674,37553,37636,37910,38159,38404,38653,38899,39126,39407,39760,40079,40538,41148,41645,42037,42413,42820,43112,43326,43637,43996,44365,44827,45278,45598,45889,46212
Hombres,8,26647,27621,28612,29622,30660,31742,32871,34029,35187,36333,37301,37896,38216,38389,38373,38236,38107,37993,37893,37806,37881,38085,38260,38428,38589,38758,38953,39154,39390,39705,40226,40886,41471,41934,42288,42635,42901,43093,43369,43735,44106,44584,45174,45643,45981,46290
Hombres,9,25800,26794,27791,28799,29827,30886,31990,33142,34324,35503,36548,37293,37794,38151,38363,38387,38291,38204,38130,38069,38125,38271,38388,38492,38587,38679,38822,39011,39167,39362,39875,40594,41225,41769,42185,42500,42734,42931,43185,43514,43879,44356,44971,45582,46072,46430
Hombres,10,24917,25937,26953,27965,28988,30034,31112,32236,33409,34610,35696,36538,37202,37745,38145,38403,38473,38424,38383,38355,38387,38471,38545,38602,38646,38686,38773,38924,39065,39180,39566,40269,40954,41536,42025,42394,42628,42826,43081,43384,43699,44168,44791,45430,46067,46581
Hombres,11,24008,25057,26098,27126,28152,29192,30255,31351,32493,33683,34800,35706,36481,37189,37778,38227,38535,38656,38657,38665,38684,38706,38733,38760,38772,38776,38824,38925,39028,39128,39424,39992,40660,41294,41818,42256,42577,42802,43047,43340,43618,44039,44662,45310,45978,46643
Hombres,12,23090,24164,25232,26284,27326,28368,29424,30504,31616,32773,33889,34849,35700,36520,37276,37914,38415,38776,38948,38998,39012,38987,38967,38959,38955,38942,38962,39025,39081,39144,39419,39891,40426,41044,41621,42094,42514,42847,43100,43365,43624,44015,44598,45248,45926,46623
