Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,
Hombres,0,33767,34516,35286,35958,36511,36930,37225,37287,37342,37429,37549,37502,37289,37092,36874,36649,36405,36151,35893,35639,35308,36429,37579,38648,39675,40594,41377,41432,41521,41587,41686,42054,42444,42824,43288,43774,44174,44187,44305,44419,44592,44735,45094,45392,45660,45905,46037,,,,,,,,,,,,,,,,,,,,
Hombres,1,32171,33059,33941,34804,35572,36220,36737,37130,37292,37472,37686,37689,37484,37311,37123,36909,36679,36426,36158,35893,35597,36514,37482,38515,39473,40319,41116,41218,41291,41344,41442,41828,42265,42751,43257,43856,44489,44487,44503,44492,44604,44725,45040,45342,45655,45899,46166,,,,,,,,,,,,,,,,,,,,
Hombres,2,31217,32151,33116,34054,34979,35814,36534,37122,37582,37821,38070,38083,37853,37653,37463,37260,37029,36784,36517,36240,35966,36784,37513,38364,39289,40077,40811,41058,41168,41187,41266,41686,42108,42600,43165,43758,44463,44616,44662,44611,44638,44782,45087,45351,45661,45946,46209,,,,,,,,,,,,,,,,,,,,
Hombres,3,30335,31279,32284,33291,34276,35251,36140,36915,37554,38072,38362,38379,38138,37919,37712,37519,37312,37078,36831,36565,36290,37004,37643,38257,39005,39775,40460,40764,41012,41061,41099,41527,41966,42415,42956,43573,44240,44445,44669,44692,44699,44784,45121,45384,45657,45945,46252,,,,,,,,,,,,,,,,,,,,
Hombres,4,29483,30421,31426,32464,33508,34533,35552,36486,37303,37989,38550,38590,38345,38119,37905,37706,37520,37321,37096,36860,36605,37189,37735,38265,38779,39385,40058,40423,40722,40902,40961,41374,41809,42252,42730,43292,43958,44141,44427,44659,44748,44810,45096,45399,45682,45940,46250,,,,,,,,,,,,,,,,,,,,
Hombres,5,28648,29584,30573,31605,32673,33751,34813,35870,36840,37697,38419,38723,38498,38274,38064,37866,37682,37514,37333,37126,36908,37382,37811,38255,38690,39074,39589,40035,40389,40617,40800,41253,41664,42088,42540,43017,43607,43828,44096,44409,44709,44836,45111,45374,45700,45974,46257,,,,,,,,,,,,,,,,,,,,
Hombres,6,27821,28763,29744,30755,31813,32910,34021,35115,36203,37208,38095,38560,38603,38403,38201,38015,37839,37681,37538,37381,37197,37581,37913,38246,38599,38918,39218,39582,40013,40295,40522,41113,41559,41947,42365,42798,43286,43483,43785,44092,44470,44785,45138,45400,45689,46014,46315,,,,,,,,,,,,,,,,,,,,
Hombres,7,26998,27945,28926,29927,30961,32044,33169,34308,35431,36550,37582,38219,38432,38502,38331,38159,38001,37858,37731,37617,37489,37783,38037,38280,38527,38778,39019,39233,39580,39940,40217,40858,41438,41852,42221,42604,43035,43189,43462,43812,44180,44549,45104,45452,45743,46035,46388,,,,,,,,,,,,,,,,,,,,
Hombres,8,26164,27129,28112,29111,30132,31187,32296,33446,34612,35761,36904,37697,38094,38337,38441,38305,38167,38046,37940,37846,37766,37996,38174,38346,38510,38667,38848,39057,39251,39529,39880,40572,41200,41742,42126,42449,42820,42981,43205,43532,43938,44273,44895,45453,45832,46129,46450,,,,,,,,,,,,,,,,,,,,
Hombres,9,25304,26295,27292,28290,29307,30347,31425,32555,33729,34918,36088,37008,37578,38010,38291,38435,38338,38243,38164,38096,38042,38207,38335,38441,38543,38631,38727,38917,39104,39229,39495,40255,40933,41516,42021,42349,42650,42818,43044,43326,43702,44056,44656,45286,45877,46267,46593,,,,,,,,,,,,,,,,,,,,
