Sexo ,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,0,0.0607826,0.05742243,0.05618472,0.05438822,0.05289357,0.05165707,0.0503852,0.04880124,0.04687658,0.04458932,0.04202362,0.03914742,0.03615358,0.03453454,0.03304477,0.03175623,0.0306473,0.0296457,0.02803194,0.02892849,0.02738678,0.023901,0.02287583,0.02174019,0.02077089,0.01987799,0.01893134,0.01786904,0.01772664,0.01757558,0.01741745,0.01725284,0.01709396,0.01622984,0.01556721,0.01502389,0.01453599,0.01409804,0.01367093,0.01327921,0.01292495,0.01257325,0.01217232,0.01179981,0.01143839,0.011227
Hombres,1,0.01060502,0.0098787,0.00935526,0.00862379,0.00797043,0.00730385,0.00652926,0.00578924,0.00513926,0.00449567,0.00398455,0.00362606,0.00324367,0.00312361,0.00301282,0.0029214,0.00292787,0.00288228,0.00274315,0.00245941,0.00232615,0.0022683,0.00208487,0.00188899,0.00170554,0.00153196,0.00139177,0.00129355,0.00130242,0.00133569,0.00137888,0.00141401,0.00142936,0.00136263,0.00128288,0.00119962,0.0011255,0.00105827,0.00100054,0.00095664,0.00093008,0.00092689,0.0009514,0.00093651,0.00092549,0.00092083
Hombres,2,0.00616568,0.00515032,0.00473777,0.00429693,0.00391538,0.00354452,0.00315729,0.00281723,0.00254022,0.00226906,0.00204802,0.00188979,0.00172376,0.0016464,0.00157245,0.00150979,0.00149632,0.00146587,0.00140574,0.00130013,0.00124144,0.00120481,0.00112199,0.00102867,0.0009381,0.00085145,0.00078054,0.00072206,0.00069195,0.00066346,0.00063399,0.00060265,0.0005786,0.00056063,0.00056045,0.00056415,0.00056708,0.0005647,0.0005568,0.00054472,0.00052895,0.00051154,0.00049218,0.00048006,0.00046695,0.00045133
Hombres,3,0.00442797,0.00339832,0.00306825,0.00275859,0.00249583,0.00224811,0.00200668,0.0018073,0.00165458,0.00150448,0.00137819,0.00128577,0.00119048,0.00113283,0.00107786,0.0010299,0.00101365,0.00099108,0.00095632,0.00090586,0.00087092,0.00084156,0.00079162,0.00073333,0.00067563,0.00062007,0.00057388,0.0005324,0.00049806,0.00046158,0.00042295,0.0003847,0.00035793,0.00035109,0.0003637,0.00038116,0.00039781,0.00040821,0.00041152,0.00040671,0.00039503,0.00037636,0.00034894,0.00033896,0.00032732,0.00031236
Hombres,4,0.00366508,0.0027014,0.00241555,0.00216949,0.00195218,0.00174533,0.00157499,0.00143382,0.00131604,0.00122092,0.0011409,0.00106513,0.00099157,0.00093223,0.00088167,0.00084849,0.00082122,0.00080362,0.00079112,0.00076309,0.00073513,0.0007066,0.00067244,0.00063124,0.00058982,0.00055278,0.00051405,0.00047742,0.00044135,0.00039877,0.00035406,0.00031779,0.00029823,0.00029612,0.00030548,0.00032609,0.0003415,0.00035705,0.00036912,0.00037161,0.00036429,0.00034261,0.00031113,0.00030206,0.00029452,0.00028526
Hombres,5,0.00302003,0.00208111,0.00182264,0.0016351,0.00145749,0.00128069,0.00116576,0.00107616,0.00099982,0.00095918,0.00092757,0.00087736,0.00083069,0.00077083,0.00072507,0.00070317,0.00066848,0.00065429,0.00065931,0.00065212,0.00063199,0.0006016,0.00058092,0.00055542,0.00052667,0.00050376,0.0004692,0.00043513,0.00039683,0.00035263,0.00030872,0.00028219,0.00027235,0.00027376,0.0002747,0.00029102,0.00029921,0.00031513,0.00033375,0.00034357,0.00033952,0.00031392,0.00027446,0.00026717,0.00026202,0.00025769
Hombres,6,0.00261006,0.00176087,0.00155175,0.00139931,0.00125482,0.00111164,0.00101983,0.00094809,0.00088557,0.00085193,0.00082408,0.00077841,0.00073772,0.00068488,0.00064542,0.00062654,0.00059668,0.00058554,0.0005905,0.00058417,0.00056605,0.00053921,0.00052055,0.00049982,0.00047718,0.00045983,0.0004315,0.00040359,0.00037086,0.00033151,0.00029231,0.00026806,0.00025974,0.00026042,0.00026093,0.00027545,0.00028161,0.00029635,0.00031263,0.00032244,0.0003196,0.00029666,0.00026224,0.00025584,0.00025147,0.00024928
Hombres,7,0.00233238,0.00155299,0.00137824,0.0012507,0.00112842,0.00100924,0.00093348,0.00087385,0.00082029,0.00079139,0.00076634,0.00072404,0.0006864,0.00063773,0.00060105,0.00058452,0.0005571,0.00054752,0.00055197,0.0005463,0.00052949,0.00050495,0.00048916,0.00047088,0.00045164,0.00043869,0.00041533,0.00039118,0.00036159,0.00032542,0.00028909,0.0002659,0.0002577,0.00025837,0.00025841,0.00027095,0.0002765,0.00029028,0.00030564,0.00031499,0.00031322,0.00029237,0.00026113,0.00025531,0.00025187,0.00025051
Hombres,8,0.00214695,0.00141651,0.00126678,0.00115771,0.00105331,0.00095005,0.00088628,0.00083564,0.00078804,0.00076275,0.00073999,0.00069995,0.00066393,0.00061733,0.00058252,0.00056615,0.00054038,0.0005308,0.00053502,0.00052987,0.00051355,0.00049093,0.000476,0.00046014,0.00044427,0.00043382,0.00041313,0.00039126,0.00036381,0.00032932,0.00029387,0.00027163,0.00026402,0.00026426,0.00026332,0.00027505,0.00028039,0.00029274,0.00030866,0.00031778,0.00031713,0.00029703,0.0002682,0.00026237,0.00025957,0.00025998
Hombres,9,0.00203347,0.00133226,0.00120264,0.00110838,0.00101653,0.00092553,0.00087119,0.00082669,0.00078305,0.00076088,0.00073962,0.00070072,0.00066518,0.00061985,0.00058467,0.00056868,0.00054198,0.00053196,0.00053721,0.00053176,0.00051566,0.00049332,0.00048001,0.00046558,0.00045089,0.00044326,0.00042382,0.00040336,0.00037725,0.00034343,0.00030817,0.00028568,0.000278,0.0002778,0.00027623,0.00028808,0.00029291,0.0003057,0.00032158,0.00033093,0.00033138,0.00031179,0.00028377,0.00027791,0.00027591,0.00027702
